iteration,vanilla_PPO,PPO_BC,PPO_WC,cmu_baseline
0,2020.8944091796875,29.57750701904297,17.748977661132812,17.44265365600586
1,2018.3302001953125,52.839656829833984,18.38099479675293,17.44265365600586
2,2026.8497314453125,51.87623596191406,17.977413177490234,17.44265365600586
3,2006.8720703125,52.96196365356445,18.24441146850586,17.44265365600586
4,2022.60888671875,51.15378952026367,18.2004337310791,17.44265365600586
5,2043.939208984375,52.025028228759766,17.579265594482422,17.44265365600586
6,2049.302490234375,53.947906494140625,17.635974884033203,17.44265365600586
7,2051.14013671875,52.2786750793457,17.86211395263672,17.44265365600586
8,2055.07080078125,52.699039459228516,17.537851333618164,17.44265365600586
9,2053.8154296875,53.235294342041016,17.737821578979492,17.44265365600586
10,2035.2210693359375,51.474327087402344,17.54273223876953,17.44265365600586
11,2009.18701171875,50.246158599853516,17.546445846557617,17.44265365600586
12,1989.5859375,50.932491302490234,17.288110733032227,17.44265365600586
13,1978.712158203125,50.950714111328125,17.700159072875977,17.44265365600586
14,1952.3543701171875,52.888267517089844,17.427522659301758,17.44265365600586
15,1927.30517578125,49.994930267333984,17.58238983154297,17.44265365600586
16,1902.7666015625,49.0423698425293,17.032997131347656,17.44265365600586
17,1885.2401123046875,51.391929626464844,17.071413040161133,17.44265365600586
18,1851.40283203125,51.654762268066406,16.729394912719727,17.44265365600586
19,1806.78125,50.22673416137695,16.90106964111328,17.44265365600586
20,1773.7337646484375,49.69404220581055,16.888940811157227,17.44265365600586
21,1742.94482421875,50.11674880981445,17.133113861083984,17.44265365600586
22,1719.7012939453125,50.10445785522461,16.745582580566406,17.44265365600586
23,1695.963134765625,49.42234420776367,16.992137908935547,17.44265365600586
24,1673.3414306640625,50.240028381347656,16.930152893066406,17.44265365600586
25,1634.13623046875,49.9182014465332,17.03659439086914,17.44265365600586
26,1605.4927978515625,49.82866668701172,17.08232307434082,17.44265365600586
27,1576.0712890625,49.670040130615234,17.4046688079834,17.44265365600586
28,1546.520263671875,49.68106460571289,17.088533401489258,17.44265365600586
29,1511.234375,49.381004333496094,17.02159881591797,17.44265365600586
30,1467.1292724609375,50.3155632019043,17.321453094482422,17.44265365600586
31,1440.2691650390625,50.726741790771484,17.270509719848633,17.44265365600586
32,1410.5777587890625,49.41398620605469,17.308399200439453,17.44265365600586
33,1384.254638671875,47.17633819580078,17.173046112060547,17.44265365600586
34,1357.7244873046875,48.92232894897461,17.261493682861328,17.44265365600586
35,1343.05029296875,49.641845703125,17.542804718017578,17.44265365600586
36,1333.0712890625,46.41127014160156,17.322181701660156,17.44265365600586
37,1330.33544921875,49.34303665161133,17.470617294311523,17.44265365600586
38,1324.2769775390625,50.15522766113281,17.336898803710938,17.44265365600586
39,1305.0609130859375,48.92036056518555,17.900346755981445,17.44265365600586
40,1301.7662353515625,48.58195495605469,17.474346160888672,17.44265365600586
41,1286.7305908203125,49.182960510253906,17.513521194458008,17.44265365600586
42,1273.478759765625,48.13844680786133,17.82586097717285,17.44265365600586
43,1237.5965576171875,49.28181457519531,17.9206485748291,17.44265365600586
44,1231.415771484375,48.70708084106445,17.884105682373047,17.44265365600586
45,1212.2618408203125,46.96383285522461,17.519617080688477,17.44265365600586
46,1197.6572265625,49.24534606933594,17.521804809570312,17.44265365600586
47,1172.3740234375,48.44765090942383,17.59316635131836,17.44265365600586
48,1154.532470703125,49.101436614990234,17.640893936157227,17.44265365600586
49,1139.0101318359375,46.46763229370117,17.444271087646484,17.44265365600586
50,1128.653076171875,46.783660888671875,17.505434036254883,17.44265365600586
51,1127.2952880859375,49.014156341552734,17.439393997192383,17.44265365600586
52,1118.931884765625,46.588497161865234,17.711772918701172,17.44265365600586
53,1117.8084716796875,46.437896728515625,17.411008834838867,17.44265365600586
54,1091.607177734375,48.638301849365234,17.468708038330078,17.44265365600586
55,1088.76953125,48.71406555175781,17.79551124572754,17.44265365600586
56,1071.638916015625,47.730525970458984,17.311185836791992,17.44265365600586
57,1073.0220947265625,49.874515533447266,17.542692184448242,17.44265365600586
58,1052.328369140625,47.59385681152344,17.873355865478516,17.44265365600586
59,1043.027099609375,48.7972412109375,17.599288940429688,17.44265365600586
60,1035.3773193359375,48.756919860839844,17.543140411376953,17.44265365600586
61,1027.1881103515625,48.38984680175781,17.047075271606445,17.44265365600586
62,1007.85986328125,48.6447639465332,17.234275817871094,17.44265365600586
63,1003.4739990234375,48.17702102661133,17.10611343383789,17.44265365600586
64,981.7424926757812,48.162559509277344,17.2224178314209,17.44265365600586
65,975.9154052734375,48.60067367553711,17.03915786743164,17.44265365600586
66,967.839111328125,49.77593231201172,17.031600952148438,17.44265365600586
