iteration,vanilla_PPO,PPO_BC,PPO_WC,cmu_baseline
67,961.4986572265625,50.4559211730957,17.11507225036621,17.44265365600586
68,961.61962890625,47.853763580322266,17.066349029541016,17.44265365600586
69,952.845947265625,47.124717712402344,17.15043067932129,17.44265365600586
70,952.0558471679688,47.99874496459961,17.195951461791992,17.44265365600586
71,943.1512451171875,48.077491760253906,16.908809661865234,17.44265365600586
72,942.6681518554688,47.68734359741211,17.036975860595703,17.44265365600586
73,944.5326538085938,49.117431640625,17.335006713867188,17.44265365600586
74,934.6356201171875,47.76742172241211,17.041278839111328,17.44265365600586
75,930.900634765625,46.417842864990234,17.097755432128906,17.44265365600586
76,921.822998046875,49.17137145996094,17.03179168701172,17.44265365600586
77,926.6099243164062,49.312828063964844,17.309494018554688,17.44265365600586
78,917.1431884765625,47.68913269042969,16.964401245117188,17.44265365600586
79,925.552490234375,47.707130432128906,17.158044815063477,17.44265365600586
80,915.1121215820312,48.69930648803711,17.00658416748047,17.44265365600586
81,921.8820190429688,46.967411041259766,17.026859283447266,17.44265365600586
82,917.6961669921875,48.907745361328125,17.169858932495117,17.44265365600586
83,913.8726806640625,48.87665939331055,17.398088455200195,17.44265365600586
84,911.0770874023438,48.56987380981445,17.070249557495117,17.44265365600586
85,911.691162109375,47.30739212036133,17.42052459716797,17.44265365600586
86,911.4982299804688,46.440860748291016,17.105836868286133,17.44265365600586
87,908.1953125,47.36586380004883,17.198694229125977,17.44265365600586
88,909.1054077148438,46.27666091918945,17.130590438842773,17.44265365600586
89,901.2106323242188,46.0915641784668,17.14472007751465,17.44265365600586
90,908.6398315429688,49.09894561767578,17.050090789794922,17.44265365600586
91,906.0661010742188,46.87031173706055,17.011327743530273,17.44265365600586
92,897.4584350585938,46.06498718261719,17.093730926513672,17.44265365600586
93,898.9699096679688,47.78596496582031,17.050086975097656,17.44265365600586
94,902.6830444335938,47.928565979003906,17.15754508972168,17.44265365600586
95,902.7949829101562,47.797508239746094,16.620121002197266,17.44265365600586
96,906.3607177734375,47.93727111816406,16.89063262939453,17.44265365600586
97,900.2302856445312,48.37388610839844,16.755504608154297,17.44265365600586
98,907.6453857421875,47.3096809387207,16.962657928466797,17.44265365600586
99,905.9935913085938,47.75538635253906,17.197500228881836,17.44265365600586
100,899.7926025390625,48.87419891357422,17.150737762451172,17.44265365600586
