env,last_iterate_cost,polyak_avg_cost,diff_pct,polyak_window
criss_cross_bh,15.863886833190918,15.53828239440918,-2.0524884109769275,50
reentrant_2,22.448328018188477,44.453067779541016,98.02395859292271,50
reentrant_3,22.263687133789062,22.342390060424805,0.35350356013715556,50
reentrant_4,77.76891326904297,81.1226577758789,4.312448722580959,50
reentrant_5,52.16010665893555,41.941192626953125,-19.591436226926927,50
reentrant_6,85.16357421875,85.58900451660156,0.4995449072614167,50
reentrant_7,64.60895538330078,84.95584869384766,31.49237313904297,50
reentrant_8,105.040283203125,100.75849914550781,-4.076325698148729,50
reentrant_9,84.09503173828125,75.84822082519531,-9.806537607062788,50
reentrant_10,97.19013977050781,91.6793441772461,-5.670117983443791,50
