env,PW_B1_mean,PW_B1_std,SPSA_B10_mean,SPSA_B10_std,SPSA_B100_mean,SPSA_B100_std,SPSA_B1000_mean,SPSA_B1000_std
re-reentrant_2.yaml,14.814357566833497,1.7183149449242536,14.220191383361817,1.2693963042667233,12.972889709472657,1.3283162465568483,13.727831268310547,1.009137778023117
re-reentrant_3.yaml,19.810589218139647,1.370835798511376,19.415766525268555,1.6520666561466373,18.308284187316893,1.7838411206725082,18.530028533935546,1.658090124943056
re-reentrant_4.yaml,29.73227729797363,1.6935675372040746,22.052547454833984,1.4766590340275636,23.219435119628905,1.891468234483912,23.62353515625,1.4588399172884468
re-reentrant_5.yaml,32.90862884521484,2.581035220297698,27.18458023071289,2.2602923480985386,27.6971378326416,2.1363874076998255,36.37696228027344,14.371918748983079
re-reentrant_6.yaml,39.11436080932617,3.3614089678370753,31.01633987426758,0.7053816649687903,35.252005386352536,3.171324754628307,46.54659080505371,14.81320987716715
re-reentrant_7.yaml,41.35097885131836,2.873155915134781,31.726575088500976,1.6800826572183556,36.65490798950195,2.839706801880701,64.04814910888672,0.470523585411036
reentrant_2.yaml,14.906839752197266,1.7991286329146519,13.714743423461915,0.5639002592941721,13.436057853698731,0.9382387966454029,13.285263061523438,1.002021414876632
reentrant_3.yaml,19.529100036621095,1.326665811660462,20.370520782470702,0.9729322124871626,19.058877563476564,2.0936411414003557,20.86288948059082,1.1881692718714447
reentrant_4.yaml,26.902578353881836,1.8245873733245388,24.036992645263673,1.415975953188362,25.72667007446289,2.0866210441746094,27.942011260986327,2.6396839804283814
reentrant_5.yaml,31.59450569152832,2.1682549227299925,28.95456008911133,2.294981299586728,30.765893936157227,4.508030830427752,65.44163208007812,0.5522271146219713
reentrant_6.yaml,38.58692245483398,4.290140317038877,31.832978439331054,5.173694389922257,34.77904586791992,4.191534537733117,66.30745544433594,0.4467381385997207
reentrant_7.yaml,44.0770980834961,1.5817723590147925,35.108363723754884,2.8210712387886936,39.59317855834961,3.8329841543559384,106.01898498535157,27.703597024220603
