alpha,gap,PW_mean,PW_std,RF_mean,RF_std,RF_PW_diff_pct
0.01,1.0,10.814362201690674,0.43624515130981756,10.858123016357421,0.3468012095455865,0.4046546051500458
0.01,0.5,11.582389888763428,0.45829762376997124,11.6857985496521,0.44434121847073277,0.8928093587057787
0.01,0.1,14.797622623443603,0.6545527927913662,14.345925369262694,0.4110422940687495,-3.052498807918597
0.01,0.05,16.107284164428712,0.5693769484757567,16.07340967178345,0.618845998624685,-0.21030542641119135
0.01,0.01,18.019467811584473,0.7748903058690628,18.053053131103514,0.8061583302026165,0.1863835262518099
0.1,1.0,10.801118965148925,0.4519433344812676,10.871921806335449,0.3902603417668207,0.655513946425155
0.1,0.5,11.56072416305542,0.46445936184869396,11.63183967590332,0.3898105610747123,0.6151475620806147
0.1,0.1,14.692121334075928,0.6772788022965014,14.456452655792237,0.5856219886290619,-1.6040479990938865
0.1,0.05,16.092133407592772,0.8085205657044752,15.910503635406494,0.5696410210840791,-1.1286867165827739
0.1,0.01,17.951932907104492,0.660321164568385,17.83876323699951,0.679057206599867,-0.630403816071491
0.5,1.0,10.82736192703247,0.3764661733778536,10.983201999664306,0.42711527581099884,1.4393171086555545
0.5,0.5,11.601730136871337,0.511938366526609,11.653052196502685,0.37780486204324454,0.44236556984067077
0.5,0.1,14.635920734405518,0.6467313206859195,14.613102111816406,0.5332582570863951,-0.1559083504426937
0.5,0.05,16.18156675338745,0.6940927187177707,16.1079140663147,0.5387134393260392,-0.45516412715309645
0.5,0.01,17.996798591613768,0.653714828835506,17.843749046325684,0.6753839660822811,-0.8504265050752025
1.0,1.0,10.727480068206788,0.42024200238426473,10.951776561737061,0.39115714560107134,2.0908591030154846
1.0,0.5,11.643171939849854,0.4574010872959862,11.631637840270995,0.3452223825301791,-0.09906320750431986
1.0,0.1,14.741506824493408,0.7087427935531747,14.695954151153565,0.48491606599518183,-0.3090096140250484
1.0,0.05,16.163516845703125,0.6355316151019836,16.135335903167725,0.6933240656460009,-0.17434907764451885
1.0,0.01,17.981114807128908,0.8438933614154192,17.822459678649903,0.6362814154164727,-0.8823431148779681
