env,epoch,test_loss,train_loss,test_loss_std
criss_cross_bh_ppg_softmax,0,18.014942169189453,15.207892417907715,2.009702444076538
criss_cross_bh_ppg_softmax,1,17.65472412109375,15.39653205871582,2.2422759532928467
criss_cross_bh_ppg_softmax,2,18.10432243347168,17.079708099365234,2.3125948905944824
criss_cross_bh_ppg_softmax,3,18.308307647705078,16.62044906616211,2.5962891578674316
criss_cross_bh_ppg_softmax,4,18.045063018798828,16.255319595336914,2.256082534790039
criss_cross_bh_ppg_softmax,5,17.897111892700195,15.091714859008789,2.4394285678863525
criss_cross_bh_ppg_softmax,6,17.997743606567383,12.93264389038086,2.504232883453369
criss_cross_bh_ppg_softmax,7,17.831287384033203,26.743885040283203,2.5668134689331055
criss_cross_bh_ppg_softmax,8,17.826902389526367,27.332805633544922,2.1104531288146973
criss_cross_bh_ppg_softmax,9,17.597684860229492,18.246490478515625,2.3612663745880127
criss_cross_bh_ppg_softmax,10,17.735065460205078,19.398603439331055,2.347960948944092
criss_cross_bh_ppg_softmax,11,17.400245666503906,16.38479232788086,2.4727883338928223
criss_cross_bh_ppg_softmax,12,17.278568267822266,15.251433372497559,1.9955878257751465
criss_cross_bh_ppg_softmax,13,17.64522361755371,22.1070556640625,2.0044150352478027
criss_cross_bh_ppg_softmax,14,17.2938289642334,22.129234313964844,2.157011032104492
criss_cross_bh_ppg_softmax,15,17.131319046020508,18.591703414916992,2.3003649711608887
criss_cross_bh_ppg_softmax,16,17.203378677368164,17.26420783996582,2.1115167140960693
criss_cross_bh_ppg_softmax,17,17.033533096313477,18.291038513183594,2.256612777709961
criss_cross_bh_ppg_softmax,18,17.17863655090332,15.804780960083008,2.596982717514038
criss_cross_bh_ppg_softmax,19,16.6743221282959,19.01653289794922,2.052109718322754
criss_cross_bh_ppg_softmax,20,16.87468147277832,17.958423614501953,2.193347215652466
criss_cross_bh_ppg_softmax,21,16.399425506591797,18.62141990661621,2.2008249759674072
criss_cross_bh_ppg_softmax,22,16.489145278930664,15.434236526489258,2.0891835689544678
criss_cross_bh_ppg_softmax,23,16.47356605529785,16.922119140625,2.0294888019561768
criss_cross_bh_ppg_softmax,24,16.319272994995117,15.872547149658203,1.7098034620285034
criss_cross_bh_ppg_softmax,25,16.422948837280273,11.655560493469238,2.168959856033325
criss_cross_bh_ppg_softmax,26,15.911886215209961,15.964357376098633,2.0930871963500977
criss_cross_bh_ppg_softmax,27,15.888252258300781,14.576520919799805,1.9060472249984741
criss_cross_bh_ppg_softmax,28,16.033231735229492,17.38490867614746,1.892539620399475
