epoch,test_loss,train_loss,test_loss_std
0,5014.6640625,680.2804565429688,6651.62451171875
1,595.7434692382812,422.0015563964844,23.240694046020508
2,323.2362060546875,246.0580596923828,13.716049194335938
3,244.36683654785156,205.40113830566406,10.198143005371094
4,195.13446044921875,179.21078491210938,8.71702766418457
5,159.2541961669922,138.58274841308594,8.428954124450684
6,134.29364013671875,110.97673797607422,6.409798622131348
7,114.84904479980469,107.8434829711914,4.728619575500488
8,100.11441040039062,87.9184799194336,5.177942752838135
9,88.52566528320312,78.63707733154297,4.06190824508667
10,79.6195068359375,68.46887969970703,4.09458589553833
11,70.84368896484375,62.43355178833008,3.142916202545166
12,65.19862365722656,55.923423767089844,3.407588243484497
13,58.528846740722656,53.159542083740234,2.8147332668304443
14,54.86322784423828,55.8245964050293,3.275939464569092
15,52.72793960571289,41.617149353027344,3.084268093109131
16,49.159263610839844,41.33300018310547,2.6578528881073
17,45.993228912353516,38.50505447387695,2.9926083087921143
18,42.355224609375,39.87918472290039,2.7410123348236084
19,40.33016586303711,37.97850799560547,2.4371445178985596
20,38.249244689941406,35.102108001708984,3.04610013961792
21,35.98965072631836,30.08865737915039,2.253988027572632
22,34.83060073852539,29.93830680847168,2.2149927616119385
23,33.601680755615234,26.971511840820312,2.2452468872070312
24,32.24238967895508,31.404970169067383,2.221158504486084
25,30.6638126373291,23.954919815063477,2.5422489643096924
26,28.908370971679688,20.988811492919922,2.3281679153442383
27,28.18918228149414,23.103391647338867,2.2251477241516113
28,27.376684188842773,21.326196670532227,2.206942558288574
29,26.5048885345459,26.019121170043945,2.3490302562713623
30,25.495698928833008,25.705631256103516,2.375296115875244
31,25.011028289794922,25.528596878051758,2.4937987327575684
32,24.104877471923828,17.47233772277832,2.0578677654266357
33,24.131309509277344,22.60475730895996,2.3298873901367188
34,23.623342514038086,19.476280212402344,2.629706859588623
35,23.136554718017578,25.156673431396484,2.1564600467681885
36,22.490638732910156,20.821353912353516,2.1765804290771484
37,21.91666030883789,21.649944305419922,2.1303038597106934
38,22.001747131347656,18.64528465270996,2.5432190895080566
39,21.60721206665039,19.977066040039062,2.487368106842041
40,21.260047912597656,24.65365982055664,2.279639720916748
41,20.747573852539062,21.30384063720703,2.724719524383545
42,20.74164581298828,17.89536476135254,2.1555542945861816
43,20.652755737304688,16.365175247192383,2.188542366027832
44,20.8149471282959,16.72554588317871,2.0794994831085205
45,20.719810485839844,21.47951316833496,2.0731875896453857
46,20.138532638549805,19.743730545043945,2.4802114963531494
47,19.789676666259766,23.474647521972656,2.007565975189209
48,19.896076202392578,21.701486587524414,2.3498764038085938
49,19.708833694458008,17.75287628173828,2.0531680583953857
50,19.485652923583984,19.960325241088867,2.036785840988159
51,19.43768882751465,23.032691955566406,2.059595823287964
52,19.221294403076172,20.543703079223633,2.0599608421325684
53,19.49151039123535,14.239622116088867,2.2397446632385254
54,19.045074462890625,12.408830642700195,1.8539420366287231
55,19.095897674560547,23.59340476989746,2.1380226612091064
56,19.283327102661133,17.52772331237793,2.280904531478882
57,18.433135986328125,13.390207290649414,1.7050758600234985
58,18.80062484741211,16.023479461669922,2.2953062057495117
59,18.3383731842041,26.914220809936523,2.0414607524871826
60,18.590330123901367,17.197309494018555,1.8664391040802002
61,19.000951766967773,21.43895149230957,2.218841552734375
62,18.193082809448242,16.808149337768555,2.0586514472961426
63,18.678050994873047,18.450237274169922,2.193143844604492
64,18.425254821777344,16.725383758544922,1.8767845630645752
65,18.569028854370117,15.362773895263672,2.103614568710327
66,18.565025329589844,13.653899192810059,1.9540398120880127
67,18.702486038208008,19.221378326416016,1.8629051446914673
68,17.93700408935547,15.135183334350586,1.4460513591766357
69,18.454195022583008,17.520889282226562,1.8855876922607422
70,18.125343322753906,20.935338973999023,1.9650791883468628
71,18.12040138244629,16.841232299804688,2.2665133476257324
72,18.44985580444336,27.729381561279297,2.404752731323242
73,18.03002166748047,33.55691909790039,2.2009918689727783
74,17.931333541870117,17.205331802368164,2.1014349460601807
75,18.37830924987793,17.367252349853516,2.1304898262023926
76,18.322378158569336,16.344736099243164,1.8754136562347412
77,18.15643882751465,19.686721801757812,2.1754133701324463
78,17.812549591064453,17.91377067565918,1.9807332754135132
79,17.667457580566406,16.875499725341797,1.9863826036453247
80,17.588586807250977,15.843785285949707,2.0854833126068115
81,17.975563049316406,15.907381057739258,2.2716238498687744
82,17.53679847717285,18.52934455871582,1.9222623109817505
83,17.73699378967285,12.978232383728027,2.0936248302459717
84,17.944650650024414,21.53837013244629,2.421135187149048
85,17.834718704223633,19.94786834716797,2.0083651542663574
86,18.275737762451172,19.279279708862305,2.2877085208892822
87,17.60317611694336,17.83976936340332,2.0496764183044434
88,17.732135772705078,20.36807632446289,2.441466808319092
89,17.77869987487793,19.000524520874023,2.037572145462036
90,18.12480926513672,16.54619026184082,2.5360240936279297
91,17.65727996826172,19.46867561340332,1.9923341274261475
92,17.53363800048828,14.431499481201172,2.0507819652557373
93,18.045385360717773,11.791014671325684,2.222505807876587
94,17.759366989135742,19.137035369873047,2.0578901767730713
95,17.693723678588867,16.982568740844727,2.1060526371002197
96,17.644075393676758,17.71571159362793,2.050049066543579
97,17.6302433013916,19.409364700317383,2.2421658039093018
98,17.205110549926758,17.935760498046875,2.1498963832855225
99,17.352659225463867,12.695683479309082,2.0072035789489746
