epoch,test_loss,train_loss,test_loss_std
0,38.16578674316406,29.14027214050293,8.665766716003418
1,38.488834381103516,45.924957275390625,8.974650382995605
2,39.17823028564453,30.157615661621094,10.003159523010254
3,37.31306076049805,25.679840087890625,9.376675605773926
4,37.379371643066406,39.56514358520508,8.236992835998535
5,36.79905700683594,35.559242248535156,8.724242210388184
6,37.77702713012695,29.66128921508789,8.25220012664795
7,37.0770378112793,36.988948822021484,9.026869773864746
8,37.08406448364258,33.52833938598633,8.691901206970215
9,37.30552673339844,43.99370193481445,7.295734882354736
10,37.399993896484375,51.286285400390625,8.392094612121582
11,36.798030853271484,42.47584915161133,8.543845176696777
12,37.148597717285156,42.612884521484375,8.919953346252441
13,36.12039566040039,28.321210861206055,6.8267436027526855
14,37.825931549072266,32.89937210083008,8.60092544555664
15,37.383209228515625,54.62128448486328,8.694247245788574
16,37.70866775512695,25.375822067260742,7.6566691398620605
17,38.456363677978516,30.463218688964844,7.980578899383545
18,36.92499542236328,50.01048278808594,8.518341064453125
19,38.310909271240234,35.009864807128906,9.23861026763916
20,38.675758361816406,31.254703521728516,8.840875625610352
21,36.632293701171875,32.0042839050293,8.25326919555664
22,37.50754928588867,35.94463348388672,9.338201522827148
23,38.36642074584961,37.89653778076172,8.089717864990234
24,38.786827087402344,30.378568649291992,9.828857421875
25,36.95561218261719,40.91575622558594,8.238449096679688
26,37.02239990234375,40.65399932861328,9.109964370727539
27,36.368431091308594,26.337505340576172,8.454601287841797
28,39.345314025878906,27.582164764404297,8.429803848266602
29,37.66416931152344,35.10521697998047,9.137038230895996
30,37.204044342041016,46.574954986572266,9.700309753417969
31,37.81651306152344,36.52853012084961,9.291412353515625
32,37.01557540893555,28.102880477905273,9.304227828979492
33,37.814945220947266,27.15323829650879,8.672797203063965
34,38.19445037841797,29.763090133666992,10.762167930603027
35,37.71824264526367,29.341466903686523,8.677888870239258
36,38.429283142089844,46.139339447021484,9.892484664916992
37,37.26441955566406,30.9337100982666,8.124692916870117
38,37.307228088378906,31.057331085205078,9.868654251098633
39,37.51948547363281,36.76539611816406,12.463966369628906
40,38.36283874511719,28.980785369873047,10.256503105163574
41,40.46274185180664,31.86319351196289,14.43858814239502
42,38.55668640136719,29.480180740356445,12.67423152923584
43,42.78071212768555,30.65923500061035,14.480246543884277
44,41.725975036621094,46.972206115722656,13.723930358886719
45,42.251197814941406,32.469688415527344,13.293985366821289
46,42.470619201660156,45.95023727416992,14.677772521972656
47,42.910770416259766,52.658592224121094,12.964459419250488
48,38.37263488769531,53.89710998535156,10.06190299987793
49,41.7594108581543,37.33110046386719,14.419389724731445
50,41.794036865234375,47.3216438293457,14.497344970703125
51,41.554969787597656,41.39826202392578,14.719383239746094
52,42.2613639831543,35.28961944580078,12.061148643493652
53,39.8040657043457,35.81705093383789,12.104193687438965
54,38.93705368041992,41.59539031982422,12.964000701904297
55,39.42857360839844,58.01201248168945,11.70226764678955
56,38.59431838989258,36.260250091552734,11.199051856994629
57,38.123741149902344,35.576812744140625,9.205078125
58,37.87535095214844,40.31827926635742,8.874062538146973
59,36.8996467590332,30.70643424987793,8.825812339782715
60,37.387794494628906,33.44410705566406,8.985708236694336
61,37.43274688720703,54.01235580444336,10.719310760498047
62,38.352752685546875,39.25144577026367,10.556079864501953
63,39.39631652832031,29.730133056640625,11.732682228088379
64,37.32328796386719,40.60621643066406,9.172233581542969
65,38.83833694458008,43.44923400878906,13.227368354797363
66,38.544551849365234,31.928226470947266,11.347209930419922
67,39.08973693847656,34.054222106933594,10.566892623901367
68,40.1157112121582,24.148141860961914,13.64206314086914
69,41.221275329589844,48.39646911621094,12.891181945800781
70,40.04357147216797,68.18180084228516,11.768823623657227
71,40.64995193481445,35.64851760864258,14.074318885803223
72,41.8059196472168,33.865604400634766,13.158025741577148
73,41.78220748901367,29.3907527923584,13.623196601867676
74,39.61994934082031,27.420581817626953,10.652667045593262
75,39.70966339111328,26.873210906982422,12.255378723144531
76,39.5648078918457,29.08910369873047,12.788394927978516
77,37.92726135253906,27.49277114868164,9.542801856994629
78,40.296363830566406,37.72017288208008,13.538747787475586
79,37.914329528808594,53.969608306884766,10.223287582397461
80,41.448097229003906,27.295499801635742,12.876753807067871
81,40.126564025878906,51.12959289550781,12.871973991394043
82,39.482452392578125,26.7337703704834,10.177000045776367
83,38.13517379760742,25.27809715270996,11.27116584777832
84,38.907508850097656,30.168001174926758,10.503788948059082
85,38.632110595703125,38.513519287109375,11.573513984680176
86,41.17201232910156,39.17948532104492,12.298392295837402
87,40.86406326293945,50.82887649536133,11.692854881286621
88,41.18458938598633,80.4644775390625,13.14889907836914
89,39.737728118896484,23.699800491333008,13.944109916687012
90,40.7668571472168,22.9139347076416,13.455147743225098
91,38.56382369995117,23.437501907348633,10.697285652160645
92,40.28813934326172,26.033382415771484,12.715719223022461
93,41.14655685424805,25.622968673706055,12.288822174072266
94,38.916683197021484,35.218692779541016,11.771821022033691
95,39.45307922363281,66.48963928222656,11.478532791137695
96,40.932525634765625,32.53775405883789,11.5087308883667
97,41.3032112121582,44.01960372924805,14.694835662841797
98,38.97671890258789,37.60515213012695,11.29276180267334
99,40.869503021240234,30.032909393310547,11.855579376220703
